Date;Flow pressure current;External potentiometer preset in %;Error pending: Filter 1 80%;Webserver control active;Error pending: Filter 1 minimal pressure not reached;Flow pressure setpoint in Pa;Filter 3 operation hours;Maintanence hours;Error pending: Filter 2 80%;Temperature;Filter 1 in %;Potentiometer in %;Blower operation hours;Error pending: Filter 1 100%;Filter 2 operation hours;Error pending: Unit not running;Error pending: Maximum cleaning cycles reached;Error pending: Filter 2 minimal pressure not reached;Filter 1 pressure;Motor power in %;Operating hours;Operation mode;Filter 1 operation hours;Filter 2 pressure;Error pending: Filter 1 operation time exceeded;Device state;Error pending: Blower operation time exceeded;Error pending: Filter 2 operation time exceeded;Remote control active?;Filter 2 in %;Error pending: Device temperature to high;Error pending: Filter 3 operation time exceeded;Error pending: Filter 2 100%
2019-07-22T22:30:00;49.2194;70.4248;23.8589;1;0;462.966;1312.39;2183.37;22.0831;;4370.37;55.1036;229.552;229.552;229.552;229.552;229.552;229.552;1;;1;1;1;1;1;1;1;1;1;1;1;1;1
2019-07-22T22:45:00;53.3811;57.0789;34.0867;1;0;682.246;879.577;1825.85;70.3611;;3906.46;61.0499;242.367;242.367;242.367;242.367;242.367;242.367;1;;1;1;1;1;1;1;1;1;1;1;1;1;1
2019-07-22T23:00:00;55.2944;24.5489;52.6533;1;0;605.264;1013.23;955.719;78.0267;;3782.15;71.255;257.367;257.367;257.367;257.367;257.367;257.367;1;;1;1;1;1;1;1;1;1;1;1;1;1;1
2019-07-22T23:15:00;19.8533;63.4589;65.4611;1;0;388.916;1169.35;935.033;70.3233;;3089.26;85.2399;272.367;272.367;272.367;272.367;272.367;272.367;1;;1;1;1;1;1;1;1;1;1;1;1;1;1
2019-07-22T23:30:00;24.0044;66.4067;20.2267;1;0;1043.24;2115.02;1974.06;59.4456;;4348.71;57.935;287.367;287.367;287.367;287.367;287.367;287.367;1;;1;1;1;1;1;1;1;1;1;1;1;1;1
2019-07-22T23:45:00;35.4722;40.4033;28.4989;1;0;890.93;2451.51;1556;70.9911;;4468.17;34.9404;302.367;302.367;302.367;302.367;302.367;302.367;1;;1;1;1;1;1;1;1;1;1;1;1;1;1
2019-07-23T00:00:00;32.4533;54.9833;23.9311;1;0;784.548;2602.68;2058.16;73.8611;;3837.51;63.134;317.367;317.367;317.367;317.367;317.367;317.367;1;;1;1;1;1;1;1;1;1;1;1;1;1;1
2019-07-23T00:15:00;20.0244;57.8667;36.5267;1;0;63.0122;2361.04;1652.49;33.8878;;3816.03;57.2628;332.367;332.367;332.367;332.367;332.367;332.367;1;;1;1;1;1;1;1;1;1;1;1;1;1;1
2019-07-23T00:30:00;60.1576;68.1946;32.4803;1;0;72.7069;2534.63;1055.75;33.2192;;4726.39;69.5271;347.239;347.239;347.239;347.239;347.239;347.239;1;;1;1;1;1;1;1;1;1;1;1;1;1;1
2019-07-23T00:45:00;43.7869;79.8848;17.6372;1;0;87.6161;2544.37;1626;61.0403;;4681.43;87.8313;365.509;365.509;365.509;365.509;365.509;365.509;1;;1;1;1;1;1;1;1;1;1;1;1;1;1
2019-07-23T03:45:00;26.8333;99.0833;35.8333;1;0;48.25;2565.42;1122.17;97.6667;;4716.5;82.1667;370;370;370;370;370;370;1;;1;1;1;1;1;1;1;1;1;1;1;1;1
2019-07-23T10:15:00;28.2143;87.6429;43.8571;1;0;70.5714;2638.21;1106.21;97.2143;;4707.29;83.0786;550;550;550;550;550;550;1;;1;1;1;1;1;1;1;1;1;1;1;1;1
2019-07-23T10:30:00;22.7038;61.7428;34.3742;1;0;198.607;2579.77;838.762;62.2595;;4196.12;55.169;947.366;947.366;947.366;947.366;947.366;947.366;1;;1;1;1;1;1;1;1;1;1;1;1;1;1
2019-07-23T11:45:00;34.4262;65.0277;88.8967;1;0;505.683;2561.03;1617.71;37.2897;;4219.06;38.1683;959.367;959.367;959.367;959.367;959.367;959.367;1;;1;1;1;1;1;1;1;1;1;1;1;1;1
2019-07-23T12:00:00;68.9324;81.8919;76.7297;1;0;534.892;2765.97;1495.85;29.9189;;3833.5;32.6189;1044.26;1044.26;1044.26;1044.26;1044.26;1044.26;1;;1;1;1;1;1;1;1;1;1;1;1;1;1
2019-07-23T12:15:00;17.5356;43.1967;49.7133;1;0;286.751;3434.87;1672.24;24.5833;;4180.54;26.9066;1052.32;1052.32;1052.32;1052.32;1052.32;1052.32;1;;1;1;1;1;1;1;1;1;1;1;1;1;1
2019-07-23T12:30:00;16.5556;73.3444;80.9489;1;0;566.493;3829.7;1280.44;44.1722;;4729.13;37.6572;1067.32;1067.32;1067.32;1067.32;1067.32;1067.32;1;;1;1;1;1;1;1;1;1;1;1;1;1;1
2019-07-23T12:45:00;19.4856;73.15;16.4978;1;0;996.151;3566.61;1375.85;35.6644;;5473.02;11.064;1082.32;1082.32;1082.32;1082.32;1082.32;1082.32;1;;1;1;1;1;1;1;1;1;1;1;1;1;1
